gene_name,Inter_16,Inter_17,Inter_18,Mature_25,Mature_26,Early_01,Early_02,Early_03,Early_04,Early_0A
Cc036087,0,0,0,0,0,0,0,0,0,0
Cc036088,0,2,1,6,3,6,1,9,8,9
Cc036089,11,8,7,31,16,44,11,36,3,28
Cc036090,135,149,150,206,113,322,236,252,211,350
Cc036091,95,99,63,119,144,91,168,225,118,152
Cc036092,2,0,0,1,4,0,0,0,1,16
Cc036093,75,57,73,77,58,106,173,165,61,169
Cc036094,7,6,6,6,5,13,1,4,6,15
Cc036095,84,119,59,179,143,138,154,108,147,131
Cc036096,0,2,2,4,7,6,3,7,0,14
Cc036097,0,0,0,0,0,0,0,0,0,0
Cc036098,0,0,0,1,0,1,0,0,0,0
Cc036099,0,0,0,0,0,0,0,0,0,0
Cc036100,0,0,0,0,0,0,0,1,0,0
Cc036101,0,1,1,2,0,1,0,0,0,0
Cc036102,3,5,4,8,2,10,6,15,17,23
Cc036103,0,0,0,0,0,0,0,0,0,0
Cc036104,9,9,18,22,3,4,16,9,20,32
Cc036105,4,11,4,12,7,69,22,20,10,18
Cc036106,0,0,0,0,0,0,0,0,0,0
Cc036107,11,10,11,16,10,26,21,36,35,29
Cc036108,1,11,8,10,18,10,8,15,5,16
Cc036109,1,5,3,5,7,9,0,14,9,10
Cc036110,0,0,0,0,0,0,0,0,0,0
Cc036111,0,0,0,0,0,0,0,0,1,0
Cc036112,4,0,3,6,1,7,3,2,4,4
Cc036113,0,0,0,2,1,2,2,0,0,0
Cc036114,17,25,36,88,24,24,106,48,57,88
Cc036115,3,0,1,3,2,6,21,10,3,9
Cc036116,15,24,21,39,18,41,46,59,23,73
Cc036117,5,1,1,23,12,1,0,1,9,8
Cc036118,0,0,0,0,0,0,0,0,0,0
Cc036119,0,1,0,0,0,5,0,1,2,4
Cc036120,1484,1709,1528,559,217,6899,1031,2839,689,3259
Cc036121,0,0,0,0,0,0,0,0,0,0
Cc036122,1,0,1,8,15,2,9,2,3,8
Cc036123,0,0,0,1,1,0,0,3,1,2
Cc036124,0,1,0,0,0,0,0,0,0,0
Cc036125,0,0,1,0,0,1,0,1,0,0
Cc036126,1,3,3,0,0,2,4,2,7,3
Cc036127,0,0,0,0,0,0,0,0,0,0
Cc036128,0,0,1,3,0,2,0,1,2,0
Cc036129,0,4,4,2,0,5,0,6,11,8
Cc036130,0,0,0,0,0,0,0,0,0,0
Cc036131,11,22,14,38,14,127,12,28,50,107
Cc036132,0,1,0,0,0,2,0,2,1,0
Cc036133,21,17,16,15,4,44,18,27,28,52
Cc036134,0,0,1,4,0,5,9,9,0,1
Cc036135,2,2,8,4,2,7,6,7,5,3
Cc036136,0,0,0,1,0,0,0,0,0,0
Cc036137,0,0,0,0,0,0,0,0,0,0
Cc036138,0,1,0,0,0,0,0,0,0,0
Cc036139,0,0,0,0,0,0,0,0,0,0
Cc036140,0,0,0,0,0,0,0,0,0,1
Cc036141,0,0,0,0,0,0,0,0,0,0
Cc036142,0,0,0,0,0,0,0,0,0,0
Cc036143,0,0,0,0,0,0,0,0,0,0
Cc036144,0,2,2,1,0,0,5,2,2,4
Cc036145,0,1,0,0,0,1,1,0,0,0
Cc036146,0,0,0,0,0,0,0,0,0,0
Cc036147,1,0,2,7,2,1,0,7,1,8
Cc036148,0,0,0,0,0,0,0,0,1,0
Cc036149,1,7,4,1,0,2,14,2,1,9
Cc036150,20,15,21,54,20,49,20,58,151,53
Cc036151,13,11,14,37,8,1,25,5,7,48
Cc036152,6,5,12,22,6,6,6,11,27,14
Cc036153,20,30,31,42,16,40,45,64,44,58
Cc036154,21,30,35,44,13,29,79,49,58,66
Cc036155,7,5,2,11,6,6,7,10,12,17
Cc036157,0,0,0,0,0,0,0,0,0,0
Cc036158,3,2,1,1,0,2,3,1,2,2
Cc036159,0,0,1,0,0,0,4,2,0,0
Cc036160,20,20,20,54,18,31,59,47,45,63
Cc036161,20,37,44,54,11,49,177,83,67,92
Cc036162,1,1,1,1,0,2,2,1,1,2
Cc036163,0,0,0,0,0,0,0,0,1,1
Cc036164,8,9,12,54,21,12,33,23,3,21
Cc036165,0,2,1,3,1,3,1,0,2,2
Cc036166,47,42,29,79,53,40,97,63,74,114
Cc036167,0,0,0,0,0,0,0,0,0,0
Cc036168,26,37,18,36,7,40,44,58,52,64
Cc036169,6,12,7,39,14,9,16,18,30,32
Cc036170,6,14,7,11,0,18,9,17,5,15
Cc036171,2,5,2,2,1,6,2,2,3,14
Cc036172,0,0,0,0,0,0,0,0,0,0
Cc036173,0,0,0,0,0,0,0,0,0,0
Cc036174,1,0,0,0,0,0,0,0,0,0
Cc036175,0,0,0,2,0,0,0,0,0,0
Cc036176,0,2,4,3,0,3,0,5,18,3
Cc036177,3,5,1,5,0,4,10,13,8,10
Cc036178,0,0,0,1,0,0,0,0,1,0
Cc036179,0,0,0,1,0,0,0,0,0,0
Cc036180,8,7,1,6,1,3,0,1,0,5
Cc036181,22,13,6,27,11,9,5,12,32,27
Cc036182,91,111,103,182,44,140,285,200,166,209
Cc036183,4,2,2,6,10,2,6,4,10,3
Cc036184,16,23,14,29,14,37,34,30,35,39
Cc036185,0,1,0,0,0,0,2,0,0,1
Cc036186,16,12,20,39,36,0,35,24,24,43
Cc036187,13,3,3,49,3,1,52,8,12,56
Cc036188,1,0,0,0,0,0,0,1,1,1
Cc036189,41,53,34,106,108,63,51,29,45,92
Cc036190,11,17,13,2,3,10,6,21,18,28
Cc036191,26,29,22,58,38,94,40,24,27,37
Cc036192,11,8,11,22,6,4,9,4,8,13
Cc036193,5,8,9,25,7,9,8,13,10,28
Cc036194,3,8,4,7,2,7,8,13,3,6
Cc036195,31,27,22,58,18,38,37,67,62,74
Cc036196,1,4,3,16,4,3,24,27,6,17
Cc036197,10,5,3,33,10,31,11,2,27,32
Cc036198,13,8,8,14,6,14,2,22,5,22
Cc036199,4,4,13,17,4,23,2,12,7,21
Cc036200,12,10,4,17,16,27,19,7,21,36
Cc036201,6,7,5,10,11,11,28,27,7,24
Cc036202,30,41,28,72,12,53,59,92,68,78
Cc036203,3,3,4,22,2,5,5,13,5,15
Cc036204,1,6,5,17,4,10,6,13,10,20
Cc036205,11,6,6,26,12,5,7,7,10,23
Cc036206,18,28,23,44,31,97,47,36,61,50
Cc036207,20,12,11,10,7,17,5,36,21,30
Cc036208,31,51,26,146,102,71,49,29,53,134
Cc036209,0,0,0,3,0,0,0,1,1,0
Cc036210,7,3,2,43,0,5,50,5,22,47
Cc036211,18,23,26,40,26,0,47,28,27,39
Cc036212,0,2,0,0,2,3,6,0,2,1
Cc036213,17,20,16,21,21,24,51,39,41,41
Cc036214,5,2,2,6,10,3,10,3,16,9
Cc036215,121,149,132,261,65,174,352,223,217,232
Cc036216,22,21,8,24,8,9,8,13,25,24
Cc036217,5,17,3,2,5,3,0,6,2,8
Cc036218,15,1,14,18,5,14,27,26,24,19
Cc036219,3,1,4,6,2,8,5,12,11,7
Cc036220,40,43,37,51,14,51,44,64,49,67
